Id;Cycle;DateTime;Flow;EntryLoad;OutputLoad;PumpCurrent;PumpVelocity
0;1;2017-04-23 14:38:39,310;97;255;100;3734;10
1;1;2017-04-23 14:38:52,515;95;250;100;3931;10
2;1;2017-04-23 14:39:05,554;96;245;100;4378;10
3;1;2017-04-23 14:39:18,585;98;240;100;3680;10
4;1;2017-04-23 14:39:31,616;98;235;100;4395;10
5;1;2017-04-23 14:39:44,647;98;230;100;4363;10
6;1;2017-04-23 14:39:57,679;99;225;100;4440;10
7;1;2017-04-23 14:40:10,708;99;220;100;4411;10
8;1;2017-04-23 14:40:23,740;98;215;100;4264;10
9;1;2017-04-23 14:40:36,771;99;210;100;3973;10
10;1;2017-04-23 14:40:49,801;98;205;100;4411;10
11;1;2017-04-23 14:41:02,831;98;200;100;4431;10
12;1;2017-04-23 14:41:15,860;98;195;100;3675;10
13;1;2017-04-23 14:41:28,889;98;190;100;3561;10
14;1;2017-04-23 14:41:41,917;101;185;100;3605;10
15;1;2017-04-23 14:41:54,947;101;180;100;3845;10
16;1;2017-04-23 14:42:07,976;102;175;100;4367;10
17;1;2017-04-23 14:42:21,006;103;170;100;4048;10
18;1;2017-04-23 14:42:34,036;102;165;100;3651;10
19;1;2017-04-23 14:42:47,065;102;160;100;4303;10
20;1;2017-04-23 14:43:00,095;101;155;100;3485;10
21;1;2017-04-23 14:43:13,126;100;150;100;3850;10
22;1;2017-04-23 14:43:26,156;100;145;100;3705;10
23;1;2017-04-23 14:43:39,187;100;140;100;4235;10
24;1;2017-04-23 14:43:52,216;101;135;100;3499;10
25;1;2017-04-23 14:44:05,248;100;130;100;4027;10
26;1;2017-04-23 14:44:18,277;100;125;100;3981;10
27;1;2017-04-23 14:44:31,306;99;120;100;3590;10
28;1;2017-04-23 14:44:44,337;100;115;100;4280;10
29;1;2017-04-23 14:44:57,367;98;110;100;3709;10
30;1;2017-04-23 14:45:10,397;96;105;100;3496;10
31;1;2017-04-23 14:45:23,429;96;100;100;4358;10
32;1;2017-04-23 14:45:36,460;95;95;100;4398;10
33;1;2017-04-23 14:45:49,491;94;90;100;4411;10
34;1;2017-04-23 14:46:02,522;93;85;100;3747;10
35;1;2017-04-23 14:46:15,554;90;80;100;4430;10
36;1;2017-04-23 14:46:28,585;86;75;100;4077;10
37;1;2017-04-23 14:46:41,615;81;70;100;3579;10
38;1;2017-04-23 14:46:54,646;77;65;100;3375;10
39;1;2017-04-23 14:47:07,676;75;60;100;3740;10
40;1;2017-04-23 14:47:20,706;73;55;100;4330;10
41;1;2017-04-23 14:47:33,737;72;50;100;4138;10
42;1;2017-04-23 14:47:46,767;71;45;100;4419;10
43;1;2017-04-23 14:47:59,797;71;40;100;3556;10
44;1;2017-04-23 14:48:12,827;70;35;100;3522;10
45;1;2017-04-23 14:48:25,858;70;30;100;3420;10
46;1;2017-04-23 14:48:38,888;69;25;100;3567;10
47;1;2017-04-23 14:48:51,920;66;20;100;3387;10
48;1;2017-04-23 14:49:04,951;60;15;100;4313;10
49;1;2017-04-23 14:49:17,981;55;10;100;3539;10
50;1;2017-04-23 14:49:31,014;39;5;100;4364;10
51;1;2017-04-23 14:49:44,043;0;0;100;3087;10
52;1;2017-04-23 14:49:57,075;0;0;100;3319;10
53;1;2017-04-23 14:50:10,104;0;2;100;3973;10
54;1;2017-04-23 14:50:23,134;0;4;100;3711;10
55;1;2017-04-23 14:50:36,166;0;6;100;3723;10
56;1;2017-04-23 14:50:49,198;9;8;100;3621;10
57;1;2017-04-23 14:51:02,228;27;10;100;4278;10
58;1;2017-04-23 14:51:15,256;26;12;100;3015;10
59;1;2017-04-23 14:51:28,285;35;14;100;3746;10
60;1;2017-04-23 14:51:41,315;40;16;100;3117;10
